SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,
 Sales of Goods ,44110100,CASH  SALES," (53,271)", -   ," 2,587 "," (55,858)",,,,,
 Sales of Goods ,44110101,CREDIT SALES," (11,777,950)"," 10,043 "," 692,237 "," (12,460,144)",,,,,
 Sales of Goods ,44110200,DISCOUNT ON CASH SALES," 10,208 ", 347 , -   ," 10,555 ",,,,,
 Sales of Goods ,44110201,DISCOUNT ON CREDIT SALES," 800,496 "," 38,913 ", 81 ," 839,328 ",,,,,
 Cost of Sales ,44120100,COST OF CASH SALES," 30,566 "," 1,527 ", -   ," 32,093 ",,,,,
 Cost of Sales ,44120101,COST OF CREDIT SALES," 7,485,861 "," 443,676 "," 6,039 "," 7,923,498 ",,,,,
 Cost of Sales ,44120500,FOC TRANSFER -A&P RECHARGEABLE," 25,474 "," 4,188 "," 1,053 "," 28,609 ",,,,,
 Gain on foreign exchange ,44220301,EXCHANGE RATE," (3,998)", 430 ," 2,577 "," (6,146)",,,,,
 Other Income ,44220302,OTHERS," (137,882)", -   , 695 ," (138,576)",,,,,
 Other Income ,44220334,FERRERO MERCHANDISER INCOME," (349,493)", -   ," 22,579 "," (372,072)",,,,,
 Other Income ,44220335,FERRERO 3PL INCOME," (986,238)"," 1,200 "," 55,969 "," (1,041,007)",,,,,
 Other Income ,44220337,COMMISSION INCOME FROM FERGULF," (362,056)", -   ," 21,111 "," (383,167)",,,,,
 Other Income ,44220338,PROFIT SHARE FROM GOODLIFE," (3,759)", -   , -   ," (3,759)",,,,,
 Other Income ,44220339,INCOME FROM GOODLIFE," (95,000)", -   ," 7,000 "," (102,000)",,,,,
 Other Income ,44220340,INCOME FROM BATEEL," (34,340)", -   ," 2,020 "," (36,360)",,,,,
 Other Income ,44220341,INCOME FROM AL THIQA 3PL," (126,250)", -   ," 7,250 "," (133,500)",,,,,
 Other Income ,44220342,FAIR VALUE ASSESSMENT," (3,500)", -   , -   ," (3,500)",,,,,
 Other Income ,44220344,PROFIT SHARE FROM BRAND AID," (90,473)", -   , -   ," (90,473)",,,,,
 Finance Cost ,44220345,INTEREST INCOME - FIXED DEPOSIT," (20,830)", -   ," 4,166 "," (24,996)",,,,,
 Distribution Costs ,55110101,SALES COMMISSION," 160,876 "," 9,473 ", -   ," 170,349 ",,,,,
 Distribution Costs ,55110102,DAMAGE," 99,755 "," 2,564 ", 117 ," 102,202 ",,,,,
 Distribution Costs ,55110103,ADVERTISING & PROMOTION," 191,937 "," 1,182 "," 21,000 "," 172,118 ",,,,,
 Distribution Costs ,55110104,CARS EXPENSES," 6,119 ", 316 , -   ," 6,436 ",,,,,
 Finance Cost ,55110109,REFINANCING INTEREST -KFH," 79,216 "," 7,679 ", -   ," 86,895 ",,,,,
 Distribution Costs ,55110112,EXTRA DISCOUNT TO CUST," 1,539 ", -   , -   ," 1,539 ",,,,,
 Distribution Costs ,55110113,STOCK TAKE VARAINCE, 859 , 31 , 27 , 863 ,,,,,
 Distribution Costs ,55110119,DAMAGES - HHT," 17,132 ", 708 , -   ," 17,840 ",,,,,
 Distribution Costs ,55110123,MUNCIPALITY SAMPLES," 4,550 ", 292 , -   ," 4,842 ",,,,,
 Distribution Costs ,55110124,REBATES," 231,760 "," 52,031 "," 6,962 "," 276,829 ",,,,,
 Distribution Costs ,55110125,RENTALS - CONTRACTUAL," 189,058 "," 19,021 "," 2,250 "," 205,829 ",,,,,
 Distribution Costs ,55110126,RENTALS - NON CONTRACTUAL," 120,892 "," 7,198 ", 323 ," 127,768 ",,,,,
 Distribution Costs ,55110127,LISTING FEES," 42,478 "," 23,987 "," 21,596 "," 44,869 ",,,,,
 Distribution Costs ,55110128,OFF SHELF DISPLAY (OSD)," 232,927 "," 38,177 "," 27,123 "," 243,980 ",,,,,
 Distribution Costs ,55110129,PROMOTION SPENDS," 22,324 ", -   , 47 ," 22,277 ",,,,,
 Distribution Costs ,55110130,OTHER MARKET SPENDS," 81,150 "," 5,125 ", 265 ," 86,010 ",,,,,
 Distribution Costs ,55110131,IN-MARKET LIQUIDATION," 38,377 "," 12,482 "," 11,035 "," 39,824 ",,,,,
 Distribution Costs ,55110132,CONTRACT &  INVENTORY SUPPORT," 137,633 "," 6,300 ", 666 ," 143,267 ",,,,,
 Distribution Costs ,55110133,PRICE DIFF  PRICE INCREASE FEES," 11,636 "," 1,349 ", 40 ," 12,944 ",,,,,
 Distribution Costs ,55110134,FOC GOODS INCOME," (69,416)", -   , 723 ," (70,139)",,,,,
 Distribution Costs ,55110135,A&P SUPPORT FROM BP (NON GP)," (355,713)", -   ," 18,760 "," (374,473)",,,,,
 Distribution Costs ,55110136,HORECA SPENDS," 10,591 ", -   , -   ," 10,591 ",,,,,
 Distribution Costs ,55120101,SALARIES," 1,454,867 "," 102,947 "," 6,407 "," 1,551,407 ",,,,,
 Distribution Costs ,55120102,LEAVE," 117,841 "," 10,364 ", -   ," 128,205 ",,,,,
 Distribution Costs ,55120103,INDEMNITY," 172,823 "," 9,177 ", -   ," 182,000 ",,,,,
 Administrative expenses ,55120104,MANAGER BOUNS," 55,000 ", -   , -   ," 55,000 ",,,,,
 Distribution Costs ,55120105,STAFF INSURANCE," 44,743 "," 5,340 "," 1,133 "," 48,950 ",,,,,
 Administrative expenses ,55120107,TEMPORARY LABOUR & DRIVER," 58,419 "," 3,865 ", -   ," 62,284 ",,,,,
 Distribution Costs ,55120108,TRAINING," 3,166 ", 151 , -   ," 3,317 ",,,,,
 Administrative expenses ,55120109,STAFF OVERTIME," 78,272 "," 4,046 ", -   ," 82,318 ",,,,,
 Distribution Costs ,55120110,STAFF AIR TICKET," 76,334 "," 4,619 ", -   ," 80,953 ",,,,,
 Distribution Costs ,55120111,SCHOOL FEES," 35,636 "," 2,483 ", 450 ," 37,669 ",,,,,
 Distribution Costs ,55120112,STAFF WELFARE," 2,016 ", 688 , 252 ," 2,452 ",,,,,
 Distribution Costs ,55120113,EXTRA COMMISSION, 0 , -   , -   , 0 ,,,,,
 Distribution Costs ,55120114,STAFF HEALTH CARD," 2,520 ", -   , -   ," 2,520 ",,,,,
 Distribution Costs ,55120115,STF FAMILY VISA, 45 , -   , -   , 45 ,,,,,
 Distribution Costs ,55120119,STAFF CIVIL ID FEES," 1,715 ", 120 , -   ," 1,835 ",,,,,
 Distribution Costs ,55120121,STAFF GROUP LIFE INSURANCE," 14,121 ", 696 , -   ," 14,817 ",6345.731,499086.791,,,
 Administrative expenses ,55120124,SECURITY GUARD-OUTSOURCED," 35,400 "," 2,430 "," 1,080 "," 36,750 ",,,,,
 Distribution Costs ,55120125,SALARY RECHARGE," (70,468)", -   ," 8,497 "," (78,966)",,,,,
 Distribution Costs ,55130101,MITSUBISH  #19/6744 - LOG-V09," 2,842 ", 171 , -   ," 3,013 ",,,,,
 Distribution Costs ,55130113,NISSAN#2/22404 - LOG-V04," 1,987 ", 98 , -   ," 2,085 ",,,,,
 Distribution Costs ,55130136,MITSUBISHI 16/6825 -  LOG-V12," 3,088 ", 269 , -   ," 3,357 ",,,,,
 Distribution Costs ,55130154,MITSUBISHI- 5/85020 -  LOG-V15," 2,516 ", 286 , -   ," 2,801 ",,,,,
 Distribution Costs ,55130155,MITSUBISHI-9/30258 -  LOG-V16," 3,482 ", 460 , -   ," 3,942 ",,,,,
 Distribution Costs ,55130156,ISUZU 19/17885 -  LOG-V17," 2,690 ", 196 , -   ," 2,885 ",,,,,
 Distribution Costs ,55130157,MITSUBISHI-  5/84205 -  LOG-V18," 2,591 ", 261 , -   ," 2,851 ",,,,,
 Distribution Costs ,55130158,MITSUBISHI   5/80820 -  LOG-V19," 2,366 ", 231 , -   ," 2,597 ",,,,,
 Distribution Costs ,55130159,MITSUBISHI   6/90521 -  LOG-V20," 2,644 ", 324 , -   ," 2,968 ",,,,,
 Distribution Costs ,55130160,ISUZU 4/87409 - CPD(BRN)-V21," 2,582 ", 330 , -   ," 2,912 ",,,,,
 Distribution Costs ,55130161,ISUZU 4/87196 - CPD(BRN)-V22," 2,008 ", 267 , -   ," 2,275 ",,,,,
 Distribution Costs ,55130162,ISUZU 5/91368 - CPD(BRN)-V23," 1,969 ", 131 , -   ," 2,100 ",,,,,
 Distribution Costs ,55130163,ISUZU 4/87110 - CPD(BRN)-V24," 1,793 ", 151 , -   ," 1,944 ",,,,,
 Distribution Costs ,55130166,ISUZU 7/27250 - CPD(BRN)-V26," 2,229 ", 328 , -   ," 2,557 ",,,,,
 Distribution Costs ,55130167,ISUZU 3/77831 - LOG," 2,633 ", 251 , -   ," 2,884 ",,,,,
 Distribution Costs ,55130168,ISUZU 3/77637 - CPD(BRN)-V28," 2,308 ", 161 , -   ," 2,468 ",,,,,
 Distribution Costs ,55130169,TOYOTA 5/31762 - LT-V32," 1,739 ", 53 , -   ," 1,791 ",,,,,
 Distribution Costs ,55130173,TOYOTA HIACE 9/71879 - CPD(LT)-V38," 1,689 ", 61 , -   ," 1,749 ",,,,,
 Distribution Costs ,55130176,ISUZU 13/11116 - LOG-V30," 2,241 ", 316 , -   ," 2,556 ",,,,,
 Distribution Costs ,55130177,ISUZU 13/11282- LOG-V31," 2,511 ", 358 , -   ," 2,869 ",,,,,
 Distribution Costs ,55130178,ISUZU 17/53442-LOG-V 34," 2,013 ", 209 , -   ," 2,222 ",,,,,
 Distribution Costs ,55130179,TOYOTA 3/11230 - CPD(LT)-V42, 948 , 10 , -   , 958 ,,,,,
 Distribution Costs ,55130180,TOYOTA 3/14815 - CPD(LT)-V43," 1,016 ", 127 , -   ," 1,143 ",,,,,
 Distribution Costs ,55130182,NISSAN 11/58449 - CPD-V29, 413 , 68 , -   , 481 ,,,,,
 Distribution Costs ,55130183,ISUZU 11/78393 - LOG-V39," 2,516 ", 241 , -   ," 2,757 ",,,,,
 Distribution Costs ,55130184,ISUZU 11/89716 - LOG-V40," 3,508 ", 353 , -   ," 3,861 ",,,,,
 Distribution Costs ,55130185,HYUNDAI 11/74065 - CPD-V33, 644 , 67 , -   , 711 ,,,,,
 Distribution Costs ,55130186,ISUZU 12/83885 - LOG-V41," 2,492 ", 246 , -   ," 2,737 ",,,,,
 Distribution Costs ,55130189,HINO 13/15597 - V47 LOG," 2,532 ", 321 , -   ," 2,853 ",,,,,
 Distribution Costs ,55130190,VAN 13/53293 -V48 CPD," 2,179 ", 53 , -   ," 2,232 ",,,,,
 Distribution Costs ,55130193,14/26180 - LOG BW VEH, 376 , -   , -   , 376 ,,,,,
 Distribution Costs ,55130195,14/86107 - V52 CPD ETHNIC," 2,462 ", 91 , -   ," 2,553 ",,,,,
 Distribution Costs ,55130196,14/86011 -  V53 CPD ETHNIC," 1,469 ", 142 , -   ," 1,611 ",,,,,
 Distribution Costs ,55130197,14/48627 - V54 CPD ETHNIC," 1,937 ", 93 , -   ," 2,030 ",,,,,
 Administrative expenses ,55130198,FORK LIFT MAINTENANCE, -   , 55 , -   , 55 ,,,,,
 Distribution Costs ,55130199,14/62180 - V51 LOG," 2,208 ", 271 , -   ," 2,479 ",,,,,
 Distribution Costs ,55130200,14/76310 - V50 LOG," 2,409 ", 181 , -   ," 2,590 ",,,,,
 Distribution Costs ,55130202,TOYOTA COASTER 19/64026 TRANSPORT VAN," 1,330 ", 41 , -   ," 1,370 ",,,,,
 Administrative expenses ,55150101,AUDIT FEES," 6,021 ", 354 , -   ," 6,375 ",,,,,
 Administrative expenses ,55150102,LEGAL FEES," 50,237 "," 2,939 ", -   ," 53,176 ",,,,,
 Administrative expenses ,55150103,MAINTENANCE -PROPERTY," 117,489 "," 5,777 "," 2,300 "," 120,966 ",,,,,
 Administrative expenses ,55150104,COMMUNICATION," 15,607 ", 867 , -   ," 16,474 ",,,,,
 Administrative expenses ,55150105,STATIONARY," 24,536 "," 1,245 ", -   ," 25,781 ",,,,,
 Administrative expenses ,55150106,ELECTRICITY & WATER," 40,725 "," 2,396 ", -   ," 43,120 ",,,,,
 Administrative expenses ,55150107,RENTS," 223,448 "," 27,248 ", -   ," 250,696 ",,,,,
 Administrative expenses ,55150108,TRAVELING EXPENSES," 23,371 "," 1,292 ", -   ," 24,663 ",,,,,
 Administrative expenses ,55150109,SUBSCRIPTION," 2,270 ", 144 , -   ," 2,414 ",,,,,
 Administrative expenses ,55150112,COMPUTER EXPENSES," 25,777 "," 1,780 ", -   ," 27,557 ",,,,,
 Administrative expenses ,55150113,COURIER & POSTAGE, 949 , 38 , -   , 987 ,,,,,
 Administrative expenses ,55150114,INSURANCE & OTHERS," 34,425 "," 2,025 ", -   ," 36,450 ",,,,,
 Administrative expenses ,55150115,ENTERTAINMENTS," 15,778 ", 982 , -   ," 16,760 ",,,,,
 Administrative expenses ,55150116,OFFICE EXPENSES," 28,105 "," 2,557 ", 690 ," 29,972 ",,,,,
 Administrative expenses ,55150117,BAD&DOUBTFUL DEBTS," 7,000 ", -   , -   ," 7,000 ",,,,,
 Provision on obsolete inventories ,55150124,EXPENSES FOR UNDATED STOCK," 1,000 ", -   , -   ," 1,000 ",,,,,
 Administrative expenses ,55150334,SOCIAL SECURITY FOR NON KUWAITI," 17,858 "," 1,171 ", -   ," 19,029 ",,,,,
 Administrative expenses ,55150336,ADDITIONAL WHS," 30,028 "," 7,963 "," 4,875 "," 33,115 ",,,,,
 Administrative expenses ,55150338,PENALTY & FINES, 1 , -   , -   , 1 ,,,,,
 Distribution Costs ,55150339,ADDITIONAL TRUCKS," 2,165 ", -   , -   ," 2,165 ",,,,,
 Administrative expenses ,55150340,MIRNA EXPENSE," 1,700 ", 100 , -   ," 1,800 ",,,,,
 Administrative expenses ,55150341,ONLINE SERVER," 2,500 ", 100 , -   ," 2,600 ",,,,,
 Administrative expenses ,55150344,PANTRY EXPENSES," 5,911 "," 1,214 ", 481 ," 6,644 ",,,,,
 Administrative expenses ,55150345,BUSINESS LUNCH," 8,898 ", 501 , -   ," 9,399 ",,,,,
 Administrative expenses ,55150348,SABHAN WAREHOUSE RENT," 334,840 "," 20,000 ", -   ," 354,840 ",,,,,
 Management fees ,55150349,MANAGEMENT FEES - TIH," 54,420 "," 3,201 ", -   ," 57,621 ",,,,,
 Administrative expenses ,55150351,LICENSE, (0), -   , -   , (0),,,,,
 Administrative expenses ,55150352,AMC - ANNUAL MAINTENANCE CONTRACT," 9,592 "," 2,838 ", -   ," 12,431 ",,,,,
 Administrative expenses ,55150353,ISO 9001:2015 & ISO 22000:2018," 4,760 "," 2,280 "," 2,000 "," 5,040 ",,,,,
 Depreciation & amortization ,55160102,DEPRECIATION ON CARS," 5,619 ", 312 , -   ," 5,931 ",,,,,
 Depreciation & amortization ,55160103,DEPRECIATION ON EQUIPMENT," 96,497 "," 6,547 ", -   ," 103,045 ",,,,,
 Depreciation & amortization ,55160104,DEPRECIATION ON COMPUTERS," 8,450 ", 460 , -   ," 8,910 ",,,,,
 Finance Cost ,55170101,BANK INTEREST, 28 , -   , -   , 28 ,,,,,
 Finance Cost ,55170102,BANK CHARGES," 7,053 ", 504 , 25 ," 7,532 ",,,,,
 Finance Cost ,55170106,ABC INTEREST, 1 , -   , -   , 1 ,,,,,
 Finance Cost ,55170108,INTEREST INCOME - GOODLIFE," (16,091)", -   ," 1,158 "," (17,249)",,,,,
 Cash & Chq in Hand ,11110101,CASH AND CHEQUES ON HAND, -   ," 36,054 "," 36,054 ", -   ,,,,,
 Cash & Chq in Hand ,11110102,PETTY CASH HEAD OFFICE, 883 ," 15,000 "," 11,761 "," 4,122 ",,,,,
 Cash & Chq in Hand ,11110120,CASH  ON HAND HHT, (1)," 6,147 "," 6,147 ", (1),,,,,
 Cash & Chq in Hand ,11110122,PETTY CASH IMPREST - LOGISTICS, 500 , -   , -   , 500 ,,,,,
 Cash & Chq in Hand ,11110123,PETTY CASH IMPREST - HR, 500 , -   , -   , 500 ,,,,,
 Bank Balance and cash ,11110201,GULF BANK 09633119, 122 , -   , -   , 122 ,,,,,
 Bank Balance and cash ,11110202,KUWAIT FINANCE HOUSE (K.F.H)," 120,317 "," 128,543 "," 235,005 "," 13,855 ",,,,,
 Bank Balance and cash ,11110203,AL AHLI BANK KD A/C," 72,974 ", -   , -   ," 72,974 ",,,,,
 Bank Balance and cash ,11110205,BURGAN BANK," 3,926 ", -   , -   ," 3,926 ",,,,,
 Bank Balance and cash ,11110206,NATIONAL BANK(0003868710101 - KD)," 110,554 "," 119,444 "," 45,715 "," 184,283 ",,,,,
 Bank Balance and cash ,11110207,GULF BANK 06219808," 190,128 "," 304,312 "," 311,004 "," 183,436 ",,,,,
 Bank Balance and cash ,11110210,GULF BANK 04803038 ($)," 2,745 ", -   , -   ," 2,745 ",,,,,
 Bank Balance and cash ,11110218,BANK OF BAHRAIN KUWAIT - BBK," 701,776 "," 362,614 "," 396,380 "," 668,010 ",,,,,
 Bank Balance and cash ,11110219,FIXED DEPOSIT GULF BANK 1," 500,000 ", -   , -   ," 500,000 ",,,,,
 Bank Balance and cash ,11110220,FIXED DEPOSIT GULF BANK 2," 500,000 ", -   , -   ," 500,000 ",,,,,
 Bank Balance and cash ,11110221,KUWAIT INTERNATIONAL BANK - KIB 011010223151," 1,000 ", -   , -   ," 1,000 ",,,,,
 Cash & Chq in Hand ,11110301,CHEQUES ON HAND, 1 ," 243,680 "," 243,680 ", 1 ,,,,,
 Cash & Chq in Hand ,11110302,POST DATED CHEQUES," 43,885 "," 43,167 "," 45,717 "," 41,335 ",,,,,
 Cash & Chq in Hand ,11110303,IMMATURE CHEQUES," (34,045)"," 22,414 "," 19,865 "," (31,496)",,,,,
 Cash & Chq in Hand ,11110310,POST DATED CHEQUES HHT," (9,843)", -   , -   ," (9,843)",,,,,
 Account Receivable & Prepayments ,11110609,STAFF ZAIN BILLS CONTROL," 4,585 ", 804 , 100 ," 5,289 ",,,,,
 Cash & Chq in Hand ,11110610,PETTY CASH - CASH SALARY, 502 ," 6,916 "," 6,916 ", 502 ,,,,,
 Account Receivable & Prepayments ,11110612,HARIBO CLAIM," 4,910 ", -   , -   ," 4,910 ",,,,,
 Account payables and accruals ,11110614,BAHLSEN CLAIMS," 1,220 ", -   , -   ," 1,220 ",,,,,
 Account Receivable & Prepayments ,11110618,LORENZ CLAIMABLE," 1,200 ", -   , -   ," 1,200 ",,,,,
 Account Receivable & Prepayments ,11110619,FERGULF KUWAIT GEN TRAD COMPANY," 241,662 "," 108,709 "," 51,509 "," 298,862 ",,,,,
 Account payables and accruals ,11110620,METCO (MIDDLE EAST TELECOMMUNICATION), 7 , -   , -   , 7 ,,,,,
 Account payables and accruals ,11110621,SUPPLIER CLAIMS - IMPORTS," 8,720 "," 16,971 "," 16,971 "," 8,720 ",,,,,
 Cash & Chq in Hand ,11110622,PETTY CASH CONTROL, -   ," 11,761 "," 11,761 ", -   ,,,,,
 Account Receivable & Prepayments ,11110623,FERGULF MARKET SPENDS," 35,619 ", -   , -   ," 35,619 ",,,,,
 Account Receivable & Prepayments ,11110624,AL THIQA CLAIMS, 676 ," 7,250 "," 8,664 ", (737),,,,,
 Account Receivable & Prepayments ,11110625,BATEEL CLAIMS," 4,040 "," 2,020 ", -   ," 6,060 ",,,,,
 Account Receivable & Prepayments ,11120101,TRADE RECEIVABLE," 1,509,030 "," 810,299 "," 883,213 "," 1,436,117 ",,,,,
 Account payables and accruals ,11120111,PROVISION FOR DEBIT NOTES," (6,136)", -   , -   ," (6,136)",,,,,
 Account Receivable & Prepayments ,11120112,PROVISION FOR BAD & DOUBTFUL - CA," (224,421)", -   , -   ," (224,421)",,,,,
 Account Receivable & Prepayments ,11120113,PROVISION FOR BAD & DOUBTFUL - FSD," (278,966)", -   , -   ," (278,966)",,,,,
 Account Receivable & Prepayments ,11120302,REFUNDABLE DEPOSIT," 7,182 ", -   , -   ," 7,182 ",,,,,
 Account Receivable & Prepayments ,11120303,PREPAID EXPENSES," 1,905 "," 2,000 ", 857 ," 3,048 ",,,,,
 Account Receivable & Prepayments ,11120304,ADVANCE PAYMENT INSURANCE," 15,329 ", 41 ," 2,982 "," 12,388 ",,,,,
 Account Receivable & Prepayments ,11120305,IMAD SULTAN, 801 , -   , -   , 801 ,,,,,
 Account Receivable & Prepayments ,11120306,HUSSAIN JAWAD, 70 , -   , -   , 70 ,,,,,
 Amount due from related parties ,11120307,MUSTAFA SULTAN," 14,032 ", -   , -   ," 14,032 ",,,,,
 Amount due from related parties ,11120308,TAWFIQ SULTAN," 5,655 ", -   , -   ," 5,655 ",,,,,
 Account Receivable & Prepayments ,11120309,MOHAMMED TAWFIQ SULTAN," 16,311 ", -   , -   ," 16,311 ",,,,,
 Account payables and accruals ,11120326,PREPAID LISTING FEES," (39,984)", -   , -   ," (39,984)",,,,,
 Account Receivable & Prepayments ,11120328,PREPAID MARKET RENTALS," 14,741 "," 46,507 "," 2,792 "," 58,456 ",,,,,
 Amount due to related parties ,11120401,BUSTAN NATIONAL RECHARGE," 57,550 "," 64,676 "," 30,438 "," 91,788 ",,,,,
 Amount due from related parties ,11120403,SULTAN FURNISHING CO.," 2,471 ", -   , -   ," 2,471 ",,,,,
 Account payables and accruals ,11120405,TOWEL INTERNATIONAL GROUB, 228 , -   , -   , 228 ,,,,,
